b,,g,,r,
X,Y,X,Y,X,Y
402.02564229564655,0.43152617772805457,402.3884331869679,0.05717633181709769,402.3884331869679,0.07035225069843265
400.52265146017226,0.41538858670393675,407.5193329356559,0.04896205602915238,407.5193329356559,0.05949176526067956
404.36185616723253,0.45049892606394115,412.6502326843439,0.041188815182841676,412.6502326843439,0.05023003148635208
405.78076359932356,0.46430671231357956,417.78113243303187,0.03534510220618281,417.78113243303187,0.04278756684626739
408.19779901812706,0.4799083233739052,422.91203218171984,0.03148604646687958,422.6788094658704,0.037627458029142025
410.78445095754824,0.4944257235360455,428.0429319304078,0.030218071009679992,429.44226822550456,0.02442948740072537
413.61900396556473,0.5079225236088905,433.1738316790958,0.03132065836376663,434.57316797419253,0.023106382575821316
416.9104342938606,0.5211083375049416,438.30473142778385,0.032974539394896585,439.70406772288055,0.02161788964780431
420.5176122989988,0.5345709290983391,443.4356311764718,0.035014325999956686,444.8349674715685,0.019522973675039745
423.84492304511764,0.5484262518064303,448.5665309251598,0.038597734900738256,449.96586722025654,0.017538316437683887
427.07416064918704,0.5629670769013683,453.7973832663547,0.046481234482457445,455.0967669689445,0.016766505289823375
429.90871365720346,0.5769497928754532,457.2137116205011,0.06024237280557687,460.2276667176325,0.016766505289823375
432.74326666521995,0.5900228742824167,459.6446099280089,0.0749831175855965,465.35856646632044,0.017924222011614255
436.1182684666952,0.6019268420309964,460.69411214933143,0.0887287065998763,470.48946621500846,0.019688361778152697
440.17051315457945,0.6146996274109937,462.2010896978971,0.10362494446829262,475.6203659636965,0.0208460784999438
444.466721078122,0.6291261124755163,463.80374836065744,0.12091966322522996,480.75126571238445,0.02161788964780431
448.8774945462924,0.6434036515290484,464.42567560292264,0.1353559007071391,485.8821654610724,0.022775606369595414
454.1638761055467,0.6511401394635562,465.5140482768868,0.15023011038803236,491.0130652097604,0.023933323091386294
459.2947758542347,0.6522978561853472,466.431390959228,0.16631042812459063,496.1439649584484,0.025366686651698833
464.42567560292264,0.6511401394635562,467.2243481931161,0.18322963107304968,501.2748647071364,0.02878470744936723
469.5565753516106,0.6417865234097214,468.15723905651396,0.20020947632598352,506.4057644558244,0.034132256116687465
472.455200534311,0.6293837282802399,469.1977711733807,0.21823889992559609,511.53666420451236,0.04251192000774573
475.77584777426273,0.6163167555303206,470.02302078330956,0.2380176207696728,516.6675639532003,0.051056972001916945
478.1858158380404,0.6020860280802428,470.989229177543,0.258382772689989,521.7984637018883,0.05712120244939334
480.518042996535,0.5883808672689461,472.0054138680299,0.279385585105847,526.9293634505764,0.05905073031904495
482.5776386146183,0.5737660718905282,472.8527897356163,0.3014214824943643,532.0602631992642,0.056514779404645665
486.64846867029206,0.5411924912012265,473.8128899158632,0.32357866449183104,537.1911629479523,0.04956847907389994
485.06620897875143,0.5576958612047157,474.745780779261,0.34662274019224126,542.3220626966403,0.04179523822758946
488.214392619567,0.5240056920520693,475.6786716426588,0.36974261877324477,547.4529624453282,0.03562074904470425
489.6137289146637,0.5107317654059265,476.61156250605666,0.3925971872721715,552.5838621940163,0.032698892556374926
491.0489456275834,0.4950943438161519,477.5153005299733,0.41590657305465906,558.0376857031113,0.03425947773446669
492.0731684636215,0.47974293527079215,478.38794219177663,0.4402923597415731,562.4340921928344,0.04608884310056194
493.5785150841044,0.46617651670155147,479.3186118864521,0.4629206024970135,564.3849316159985,0.06291529899511838
494.871841053815,0.45234363952173984,480.2515027498499,0.48345235415489785,565.799816092152,0.07872272636154032
496.2605763163731,0.4380789156282443,481.21771114408335,0.5049774845146545,566.5772251449835,0.09405175332599436
497.6599126114699,0.42306994527074027,482.1195056453679,0.5279002756061152,567.6177572618503,0.11006235832792133
499.0592489065666,0.40750508712221756,483.51884194046465,0.5491655103752656,568.2309862210068,0.12840347489109283
500.45858520166337,0.39188969371996585,483.47219739729474,0.5683082644877994,569.375897735177,0.14824660167917036
501.85792149676007,0.37617322981025636,484.6227627954854,0.584075263651238,570.4185404648568,0.17350902638518317
503.2572577918568,0.36055783640800465,485.4157200293735,0.6003981506056952,571.1417268694656,0.1969607814434069
504.65659408695353,0.3453467250355847,486.54851607778517,0.6189445887242271,572.3411579795486,0.2172326375106851
506.05593038205024,0.3302872194243518,487.11188523555137,0.6375783150082909,572.6410157570692,0.23595474579694142
507.45526667714694,0.31527824906684776,488.50143596215094,0.6551900276295282,573.2940393614477,0.25036066212661323
508.8546029722437,0.29991553193324094,489.24057256930456,0.6717033936172716,573.7604847931466,0.2651573844184555
510.2539392673404,0.28475495581455,490.0801743463626,0.6862575466912149,574.0403520521661,0.2792129229889396
