b,,r,,g,
X,Y,X,Y,X,Y
390.23764082326556,15.409759113150812,390.59310201585447,7.497585321038002,391.0374285065907,2.223547834933129
391.25959175195874,16.30999905698929,394.9623125080933,6.87260972977505,395.92501990468827,2.0971772545814673
392.14824473343106,17.08730707572377,399.2574685852094,6.352513123565842,400.81261130278585,1.9708066742298058
393.0368977149033,17.881636437934183,402.27888872221513,5.827688366391101,405.7002027008835,1.890857939721613
393.9255506963756,18.675965800144603,406.81101892772386,5.31137428095434,410.58779409898113,1.8263831538279192
394.8142036778479,19.46745827177569,411.4764470804534,4.707116587558559,415.4753854970787,1.8005932394704303
395.7028566593202,20.236255618772212,416.36403847855104,4.134580488822479,420.3629768951763,1.8238041623921788
396.5915096407925,20.993705403451422,421.2516298766486,3.6342561502873423,425.25056829327394,1.8882789482858726
397.62827145251015,21.79465417701359,426.1392212747462,3.234512477746378,430.1381596913716,2.0069125543302846
398.5465462000315,22.562505893817004,431.02681267284385,2.9095595568421118,435.02575108946917,2.17712598908966
399.4351991815038,23.28307610096502,435.9144040709415,2.687766293367787,439.91334248756675,2.3731293382065104
400.36828481204975,23.969603621161163,440.80199546903907,2.409235218306989,444.8009338856644,2.548500755837395
401.1236398463012,24.67031559425393,445.68958686713665,2.112651203195952,449.68852528376203,2.8218738480266836
402.04305389251675,25.501524533995543,450.5771782652343,1.9424377684365766,454.5761166818596,3.3350931437405507
403.25640700183465,26.317130575550884,455.46476966333194,1.8057512223419252,459.4637080799572,4.124264523079475
404.26848400851145,26.983011836530842,460.3523610614295,1.7309604707052415,463.9069729873187,5.27449470342313
405.34474150829453,27.668908936598257,465.2399524595271,1.7464344193197263,467.905911403944,6.465988746738759
406.2778271388405,28.361110237953042,470.12754385762474,1.8005932394704303,472.1270130659374,7.668830352371685
407.4775086638281,29.07084868107092,475.0151352557224,1.8392781110066636,476.57027797329886,8.865998176845949
408.77009481869686,29.896125940510316,479.90272665381997,1.8573310510568888,481.2357061260284,9.968259116484695
410.1434676082449,30.633144381926336,484.79031805191755,1.841857102442404,486.12329752412603,10.96374981068346
411.7840577278861,31.33242578626541,489.6779094500152,1.841857102442404,490.5261691141478,12.175875785485076
413.43148363969243,32.0320466475969,494.56550084811283,1.8624890339283837,492.59071644484106,13.438435370585758
415.07549165541616,32.701552824317105,499.4530922462104,1.9837016314085503,494.76297928843996,14.756013439649067
417.4748547053914,33.41408517482372,504.340683644308,2.231284809240364,496.5094292450834,15.980210527143
419.1188627211151,34.09446609876466,509.22827504240564,2.6310284817813283,498.07568012492834,17.317095212648923
420.88135780103516,34.80652563417471,513.9924424152987,3.0963931586318694,499.614665515569,18.943149312888103
422.58460934885704,35.59827600494938,517.8071942096958,3.7534849082015427,501.26457716998084,20.725291910177027
424.2878608966789,36.4070047360094,522.335906519122,4.426264420205584,504.5998740972375,24.773389285302656
426.06516685962356,37.255707834323495,527.0013346718515,4.980489679747848,505.96988077700723,26.607911859931477
427.6741673336529,38.07668677470331,531.8889260699491,5.191966977479197,502.31536718861173,23.23201207053721
429.6254752789837,38.96802589168917,536.7765174680467,5.032069508462811,506.56231609798874,27.827774809040335
431.62982719598574,39.919818268362896,541.6641088661443,4.781907339195243,507.6731323248291,29.177514154983818
433.0015970761156,40.732474844315924,546.551700264242,4.521429204184685,508.56178530630143,30.41339793705179
435.02575108946917,41.529956307170025,551.4392916623395,4.379584675218538,509.4504382877737,31.70367656304027
437.1204331172253,42.415471438001546,556.1047198150691,4.4103432559016795,510.1169280238779,32.90175624520076
438.3581997699903,43.14698393738409,561.6310305436,4.992578702102918,511.11666262803425,34.18240970672367
440.55963556500114,43.838153642164585,565.5096305356508,5.635725437190246,512.0053156095066,35.55120941124698
443.0578068835457,44.517420309549316,567.879371819577,6.431315639658152,512.8939685909788,36.92710134221859
446.13391335787287,45.12145978059284,569.4715417447148,7.189395844466105,513.7826215724511,38.29944715996606
450.0376389550547,45.75084421911977,570.3866427315882,8.202571051367144,514.8564105917301,39.71812885717579
455.0204431725957,46.25208962602481,571.3998047846403,9.24614151447522,515.6710091580798,41.1115149467199
459.90803457069336,46.31914340335426,572.011608183423,10.092669663345184,516.5596621395521,42.39875404708767
464.795625968791,46.063823251215204,572.4438166789573,10.91474897340425,517.2261518756563,43.55630672097211
469.0167276307844,45.47559828791165,573.1002080857268,11.834804168107397,518.3122832974557,44.9436813042886
471.016196839097,44.84596618433415,573.9814556256867,13.127007826988994,519.0034578386009,46.31214328374295
472.85274633413985,44.05478892276743,573.3593985386561,12.480196774903348,520.3364373108093,47.75850717910568
474.52637611591257,43.274644013453624,574.9568580648742,14.59570660691272,521.6694167830178,49.388143211894516
476.12595148256275,42.55123691572628,573.877779444515,13.927010970358033,523.0023962552261,50.85071791056766
477.4589309547712,41.852652610568015,575.3835525520096,15.512517594135176,524.5777356314725,52.45198503756326
478.24660064289435,41.199845403394264,575.77471177035,16.3492790803953,525.9645728601338,53.92716813881118
479.2564335763856,40.51641267292102,576.0994118981957,17.1965273630277,527.1124162945355,55.15057720114419
480.6802980126082,39.728530789299974,576.7659016342999,18.060142322079273,528.3343141440599,56.439842651925765
481.7608192514438,38.92775394850019,576.9140104645453,18.935698893184835,530.515553280401,57.79049730956184
