b,,g,,r,
X,Y,X,Y,X,Y
400.5658011665439,0.47400621595792203,407.15370945109527,0.07884213978739596,400.9727013841191,0.08936563172670964
401.5055469071343,0.4879370940537975,409.49822975236214,0.07244459843221851,403.31722168538596,0.0843588602313533
402.35809974395863,0.5000483815830736,411.84275005362895,0.06734510894620749,405.66174198665277,0.07800767787150331
403.2106525807829,0.5119046946380492,414.18727035489576,0.062245619460196466,408.0062622879196,0.06887495579201075
404.0632054176072,0.5235697768372994,416.53179065616257,0.057517001936804424,410.3507825891864,0.060252182661119424
405.02232735903453,0.5358213003274409,418.8763109574294,0.053205615371358705,412.69530289045326,0.05533812915641789
406.10739460590185,0.5474388645564805,421.22083125869625,0.050748588619007995,415.0398231917201,0.05107310158629963
407.34747145946443,0.5592604083649606,423.56535155996306,0.050655870628353306,417.3843434929869,0.04676171502085391
408.53910781093475,0.5713137471500775,425.9098718612299,0.050655870628353306,419.7288637942537,0.04263576443671768
409.7113679615682,0.5829915780730428,428.2543921624967,0.050655870628353306,422.0733840955205,0.04147678955353351
410.8836281122016,0.5947713987857282,430.59891246376355,0.050655870628353306,424.4179043967874,0.041337712567551366
412.07526446367194,0.6068247375708451,432.94343276503037,0.050655870628353306,426.7624246980542,0.038138941889962696
413.4166937523815,0.6197196704249821,435.2879530662972,0.05172212752088279,429.106944999321,0.03294673441329676
414.7201158779109,0.6325076209822097,437.632473367564,0.05584807810501902,431.4514653005878,0.030767861632910343
416.1055142377504,0.6443821464996353,439.9769936688308,0.059417720745226776,433.7959856018547,0.030767861632910343
417.4909125975899,0.6556253066521263,442.32151397009767,0.0598349517031731,436.1405059031215,0.030767861632910343
418.87631095742944,0.6668199002380838,444.6660342713645,0.06039125964710146,438.4850262043883,0.030767861632910343
420.26170931726887,0.6780630603905747,447.0105545726313,0.06465628721721983,440.8295465056551,0.02868170684317861
421.6471076771084,0.6892576539765323,449.3550748738981,0.0697094177079034,443.1740668069219,0.024370320277732782
423.03250603694784,0.7004583183833064,451.699595175165,0.07434531724064075,445.51858710818874,0.02163513955341778
424.4179043967874,0.7116589827900806,454.0441154764318,0.07884213978739596,447.8631074094556,0.021588780558090548
425.9098718612299,0.723387808607906,456.2228616149828,0.08788214387623361,450.2076277107224,0.021588780558090548
427.4018393256724,0.735007359651031,458.0084861676648,0.0992030105351781,452.55214801198923,0.021588780558090548
428.8938067901149,0.7465176359194559,459.6632137191374,0.10874369177355148,454.8966683132561,0.021588780558090548
430.2792051499544,0.7577000878637801,460.7461280548006,0.12187874044964042,457.2411886145229,0.021588780558090548
