r,,g,,b,
X,Y,X,Y,X,Y
402.90846125619225,0.09707585568651389,404.0123692740505,0.0671351035488269,401.6389670356553,0.44750605576049285
405.9442083053024,0.08973679930569256,407.0481163231606,0.0633032068544157,403.92612646015533,0.46520584638158424
408.97995535441254,0.08187816371206968,410.0838633722708,0.05843215173440153,405.8062198030701,0.4827389386719019
412.0157024035227,0.0746040547328487,413.1196104213809,0.05284667519678543,407.4620818298575,0.4983966747410141
415.0514494526328,0.06726499835202715,416.1553574704911,0.047001409052768395,409.2559323588771,0.5146412569745852
418.087196501743,0.06044552118400737,419.19110451960125,0.042130353932754216,411.18777139012906,0.5303074980605735
421.12294355085317,0.05414562322878913,422.22685156871137,0.03920772086074553,413.11961042138097,0.545973739146562
424.1586905999633,0.048170462281571735,425.26259861782154,0.03790877282874194,414.9923115231047,0.5611807093212346
427.19443764907345,0.04374648276537041,428.29834566693165,0.03699950920633932,417.13189148628874,0.5779264333184351
430.3016635068192,0.03829641826174579,431.3340927160418,0.03732424621434016,419.54987462540515,0.5958199420546841
433.26593174729373,0.0341720483654846,434.36983976515194,0.03842835204154338,421.9508745642468,0.6116324694309434
436.30167879640385,0.03011508463671908,437.4055868142621,0.03946751046714647,424.57265610666013,0.6275402529962163
439.337425845514,0.027712030777512275,440.4413338633723,0.041026248105551,427.19443764907345,0.6427494911753894
442.3731728946242,0.025244029516705124,443.4770809124824,0.04258498574395553,429.67823068925446,0.6583080020476124
445.4089199437343,0.02362034447670025,446.5128279615925,0.04420867078396018,432.1620237294355,0.6740252732348581
448.4446669928444,0.022386343846296786,449.5485750107027,0.0468065668479678,434.64581676961654,0.6895044039495697
451.4804140419546,0.02141213282229404,452.58432205981285,0.05096320055037984,437.2675983120298,0.7049120925225212
454.51616109106476,0.02128223801909357,455.62006910892296,0.0577177303167995,440.0273683566754,0.7205579215680067
457.5519081401749,0.02128223801909357,458.71495408756124,0.07006701482106392,442.8423338022139,0.7360608663299717
460.58765518928504,0.021866764633495128,460.58765518928504,0.08558016560328052,444.8569659348052,0.7509446458633484
463.6234022383952,0.022711080854297627,462.21842839748473,0.10246649001932973,447.61673597945077,0.7649299863412558
