# wavelength [nm], Hayda Transmissivity, Hoya Transmissivity, UQG Transmissivity
870.00000000,0.00043252,0.00523922,0.00071696
875.00000000,0.00043914,0.00289454,0.00072695
880.00000000,0.00038928,0.00186541,0.00074696
885.00000000,0.00041438,0.00154766,0.00083334
890.00000000,0.00042780,0.00133610,0.00091950
895.00000000,0.00042135,0.00126440,0.00109230
900.00000000,0.00041063,0.00123148,0.00129594
905.00000000,0.00040634,0.00128290,0.00170073
910.00000000,0.00040277,0.00140529,0.00266446
915.00000000,0.00038052,0.00163079,0.00507004
920.00000000,0.00044929,0.00214396,0.01097081
925.00000000,0.00048563,0.00316818,0.01330262
930.00000000,0.00064863,0.00565453,0.00804769
935.00000000,0.00131105,0.00925983,0.00477601
940.00000000,0.00841463,0.00912443,0.00329707
945.00000000,0.00702929,0.00576484,0.00256425
950.00000000,0.00203776,0.00356309,0.00225171
955.00000000,0.00115986,0.00254358,0.00208583
960.00000000,0.00091631,0.00203423,0.00208178
965.00000000,0.00094403,0.00192138,0.00207487
970.00000000,0.00078251,0.00175572,0.00232114
975.00000000,0.00092487,0.00173280,0.00235902
980.00000000,0.00104063,0.00178832,0.00265255
985.00000000,0.00027268,0.00182504,0.00295551
990.00000000,0.00184052,0.00204610,0.00357720
995.00000000,0.00333242,0.00232622,0.00405237
1000.00000000,0.00636399,0.00256713,0.00525473
1005.00000000,0.01145635,0.00298129,0.00655385
1010.00000000,0.01086394,0.00387842,0.00868233
1015.00000000,0.00689314,0.00473675,0.01165621
1020.00000000,0.00474363,0.00584866,0.01563168
1025.00000000,0.00438735,0.00755299,0.01924613
1030.00000000,0.00406522,0.01021918,0.02107255
1035.00000000,0.00374254,0.01222874,0.02043630
1040.00000000,0.00334264,0.01348331,0.01919394
1045.00000000,0.00390802,0.01370321,0.01809750
1050.00000000,0.00458990,0.01346609,0.01771985
1055.00000000,0.00700912,0.01358932,0.01878447
1060.00000000,0.00940055,0.01372690,0.01955896
1065.00000000,0.01097887,0.01507130,0.02126616
1070.00000000,0.01643157,0.01507613,0.02435416
1075.00000000,0.02286540,0.01737260,0.02624525
1080.00000000,0.03589049,0.01892038,0.03164919
1085.00000000,0.04494363,0.02055017,0.03392053
1090.00000000,0.04653512,0.02449350,0.03863140
1095.00000000,0.04207639,0.02987495,0.04647691
1100.00000000,0.03906014,0.03400316,0.04949312
