# wavelength [nm], r, g, b
400.00000000,0.09687818,0.06602372,0.44985846
405.00000000,0.09215328,0.06602372,0.47508504
410.00000000,0.07939122,0.05857761,0.52082127
415.00000000,0.06738689,0.04918579,0.56124224
420.00000000,0.05646825,0.04114752,0.59892737
425.00000000,0.04688236,0.03800137,0.63001531
430.00000000,0.03879501,0.03702375,0.66035298
435.00000000,0.03172550,0.03863945,0.69163200
440.00000000,0.02718384,0.04078451,0.72041493
445.00000000,0.02379804,0.04333433,0.75190187
450.00000000,0.02180205,0.04729819,0.77329611
455.00000000,0.02127585,0.05616339,0.78729478
460.00000000,0.02169608,0.08021589,0.79559398
465.00000000,0.02269671,0.13583873,0.78710044
470.00000000,0.02375578,0.24002420,0.77260954
475.00000000,0.02523051,0.35415906,0.74901674
480.00000000,0.02735458,0.50439882,0.70687837
485.00000000,0.02847224,0.63871059,0.65796463
490.00000000,0.03018644,0.75121613,0.60365667
495.00000000,0.03184758,0.84018309,0.54654007
500.00000000,0.03577818,0.89294352,0.48232601
505.00000000,0.04144266,0.93424214,0.41939746
510.00000000,0.04912797,0.95739581,0.35086285
515.00000000,0.05832262,0.97524502,0.29288102
520.00000000,0.07040588,0.98926613,0.24628967
525.00000000,0.07858164,0.99659450,0.20483866
530.00000000,0.07662419,0.99713409,0.17272888
535.00000000,0.06834123,0.99562830,0.14719426
540.00000000,0.06082004,0.98719402,0.12507235
545.00000000,0.05491889,0.96850075,0.10646983
550.00000000,0.04910949,0.94139808,0.09119355
555.00000000,0.04417194,0.91565360,0.07688139
560.00000000,0.04909080,0.89275416,0.06312090
565.00000000,0.06929719,0.86466028,0.05290037
570.00000000,0.14198612,0.82845310,0.04765775
575.00000000,0.28152773,0.78990251,0.04370982
580.00000000,0.45528989,0.74885129,0.03904514
585.00000000,0.61950848,0.70620350,0.03457677
590.00000000,0.79065145,0.64559616,0.03157751
595.00000000,0.89741746,0.59414718,0.03015379
600.00000000,0.94019456,0.51901300,0.02801207
605.00000000,0.94887615,0.44665257,0.02605222
610.00000000,0.93995109,0.38180209,0.02422250
615.00000000,0.93081470,0.32113881,0.02204604
620.00000000,0.91989964,0.27018506,0.02126182
625.00000000,0.90632680,0.23784012,0.02383858
630.00000000,0.89062253,0.21298552,0.02726339
635.00000000,0.87269254,0.19248580,0.03156947
640.00000000,0.84148678,0.17587786,0.03546656
645.00000000,0.81603991,0.16329691,0.03985750
650.00000000,0.78468667,0.15315948,0.04447981
655.00000000,0.75792938,0.14574169,0.04913214
660.00000000,0.73283506,0.14274543,0.05429626
665.00000000,0.70896972,0.14563999,0.06013258
670.00000000,0.68599373,0.15292253,0.06479554
675.00000000,0.66249684,0.16695285,0.06555418
680.00000000,0.64467879,0.18726268,0.06599035
685.00000000,0.63146605,0.20621751,0.07070970
690.00000000,0.61581877,0.22094212,0.07416742
