# wavelength [nm], r, g, b
400.00000000,0.08930524,0.07627000,0.48053884
405.00000000,0.08008601,0.07627000,0.53555632
410.00000000,0.06131414,0.07130515,0.58586483
415.00000000,0.05114546,0.06056549,0.63505718
420.00000000,0.04233535,0.05170377,0.67594048
425.00000000,0.04089291,0.05068341,0.71626814
430.00000000,0.03169195,0.05066260,0.75536699
435.00000000,0.03076399,0.05142370,0.79925659
440.00000000,0.02975499,0.05943640,0.82981673
445.00000000,0.02197211,0.06079020,0.85863668
450.00000000,0.02159589,0.07106399,0.87878112
455.00000000,0.02158857,0.08191973,0.88864762
460.00000000,0.02158877,0.11222535,0.87900647
465.00000000,0.02158968,0.18010480,0.86809193
470.00000000,0.02160621,0.27879577,0.83865446
475.00000000,0.02217669,0.41052115,0.79700127
480.00000000,0.03003244,0.54823639,0.74768332
485.00000000,0.03074779,0.69434172,0.69725245
490.00000000,0.03130378,0.79624143,0.63023885
495.00000000,0.04073193,0.87706935,0.56805555
500.00000000,0.04216735,0.92660858,0.50051297
505.00000000,0.04998815,0.95931175,0.43098102
510.00000000,0.05144011,0.97817588,0.36924685
515.00000000,0.06011802,0.98963462,0.31048755
520.00000000,0.07080121,0.99804799,0.25983171
525.00000000,0.07960266,0.99862163,0.21887869
530.00000000,0.08023224,0.99809451,0.17966687
535.00000000,0.07961226,0.98969989,0.16150682
540.00000000,0.07098392,0.97832110,0.14133955
545.00000000,0.06109956,0.95979325,0.12103889
550.00000000,0.06036809,0.93035329,0.10160951
555.00000000,0.06034250,0.91031436,0.09051175
560.00000000,0.06149709,0.87635440,0.07190656
565.00000000,0.08372348,0.84793478,0.06977566
570.00000000,0.15341919,0.81658743,0.05953379
575.00000000,0.28529553,0.77464497,0.05132291
580.00000000,0.44526906,0.72534301,0.05115498
585.00000000,0.61341322,0.67542461,0.05113605
590.00000000,0.77206901,0.61713307,0.05000770
595.00000000,0.85774165,0.54751170,0.04206660
600.00000000,0.88727181,0.47807160,0.04036935
605.00000000,0.87786392,0.41609639,0.03116533
610.00000000,0.85816329,0.34670021,0.03077033
615.00000000,0.84033726,0.29615969,0.03076729
620.00000000,0.82902950,0.24780834,0.03076785
625.00000000,0.81961832,0.22027877,0.03076903
630.00000000,0.80965707,0.19962226,0.03078856
635.00000000,0.80822964,0.18036278,0.03156645
640.00000000,0.79946373,0.17038757,0.04078604
645.00000000,0.78943475,0.16103759,0.04226065
650.00000000,0.76977849,0.15018188,0.05045947
655.00000000,0.74879109,0.14145682,0.05161019
660.00000000,0.72070242,0.14164303,0.05954968
665.00000000,0.69918804,0.14968321,0.06034776
670.00000000,0.67099846,0.15193119,0.06106489
675.00000000,0.64932685,0.16985923,0.06997242
680.00000000,0.62109187,0.18095910,0.07052871
685.00000000,0.60123282,0.20159408,0.07054367
690.00000000,0.59914605,0.22206740,0.07054388
695.00000000,0.59007207,0.24107827,0.07054265
700.00000000,0.58966269,0.24859862,0.07059289
