# wavelength [nm], r, g, b
895.00000000,11.64487667,12.08806291,12.94362420
900.00000000,10.90146764,11.29720951,12.11480705
905.00000000,10.24431921,10.51915522,11.25919080
910.00000000,9.56185711,9.81506505,10.41653848
915.00000000,8.94018161,9.14867360,9.66039538
920.00000000,8.45651037,8.54152215,9.04927943
925.00000000,8.01014156,7.99935635,8.48746119
930.00000000,7.53930892,7.51691332,7.97059781
935.00000000,7.09493393,7.07434201,7.48863537
940.00000000,6.68258921,6.65204356,7.05344999
945.00000000,6.24385481,6.21954518,6.62590650
950.00000000,5.77181893,5.80174402,6.20518653
955.00000000,5.36237580,5.37719469,5.78532145
960.00000000,4.95767573,4.96954116,5.37474579
965.00000000,4.59070131,4.58354424,4.97432030
970.00000000,4.32555745,4.23482911,4.60347727
975.00000000,3.99274346,3.92884868,4.27600647
980.00000000,3.67466478,3.64384146,3.97903653
985.00000000,3.46382366,3.43780763,3.70919074
990.00000000,3.24310167,3.23619476,3.45579062
995.00000000,2.98488733,3.04879697,3.21583549
1000.00000000,2.75362963,2.83908013,2.98686272
1005.00000000,2.55435540,2.69644204,2.77059922
1010.00000000,2.36053889,2.43480583,2.54871020
1015.00000000,2.15475118,2.22682592,2.33047450
1020.00000000,1.92757260,2.01781830,2.12054098
1025.00000000,1.68013823,1.83748765,1.91411221
1030.00000000,1.45945733,1.65597965,1.70367814
1035.00000000,1.32428262,1.43976680,1.51060431
1040.00000000,1.22156257,1.22799350,1.33509220
1045.00000000,1.08796251,1.10363108,1.16925202
1050.00000000,0.95029075,1.00648039,1.02681372
1055.00000000,0.85184897,0.87549426,0.89185471
1060.00000000,0.76747532,0.75047543,0.77767998
1065.00000000,0.67129319,0.66061704,0.68568916
1070.00000000,0.58985008,0.58952104,0.61111270
1075.00000000,0.54170099,0.52225052,0.54531126
1080.00000000,0.50585961,0.45960117,0.48882308
1085.00000000,0.46643757,0.40457236,0.44326539
1090.00000000,0.42464435,0.36226376,0.40728197
1095.00000000,0.38327583,0.33986378,0.35328004
1100.00000000,0.34512784,0.34465078,0.31440288
