# wavelength [nm], r, g, b
400.00000000,0.07966360,0.09521241,0.44898805
405.00000000,0.07262598,0.08390320,0.49139130
410.00000000,0.06456371,0.07063537,0.53237789
415.00000000,0.05648693,0.05911970,0.56858893
420.00000000,0.04871636,0.05057472,0.60460705
425.00000000,0.04273674,0.04327973,0.63930813
430.00000000,0.03796202,0.04184886,0.67365208
435.00000000,0.03237600,0.04239990,0.70581635
440.00000000,0.02855174,0.04597773,0.73555247
445.00000000,0.02548568,0.04880010,0.76110473
450.00000000,0.02298391,0.05314735,0.78358688
455.00000000,0.02145074,0.06410916,0.79608363
460.00000000,0.02074217,0.09114888,0.80227937
465.00000000,0.02174317,0.15214867,0.80076317
470.00000000,0.02326419,0.25179783,0.78769151
475.00000000,0.02477957,0.38105927,0.76111926
480.00000000,0.02584094,0.52396344,0.72523483
485.00000000,0.02666725,0.66405315,0.68256924
490.00000000,0.02732319,0.78113075,0.62487957
495.00000000,0.02833966,0.86056417,0.56119826
500.00000000,0.03077199,0.91345394,0.49674111
505.00000000,0.03549297,0.94483497,0.43007950
510.00000000,0.04274236,0.96727891,0.36589390
515.00000000,0.05191577,0.98085962,0.30960798
520.00000000,0.06035496,0.99164269,0.25665460
525.00000000,0.06527844,0.99720795,0.21253010
530.00000000,0.06526176,0.99787241,0.17740061
535.00000000,0.06028433,0.99412350,0.15098256
540.00000000,0.05191196,0.98126383,0.12818497
545.00000000,0.04327609,0.96520312,0.10738106
550.00000000,0.03723688,0.94913190,0.08926455
555.00000000,0.03533386,0.93444092,0.07283476
560.00000000,0.04014609,0.91901470,0.05884810
565.00000000,0.06282799,0.90032291,0.04796597
570.00000000,0.14283188,0.87728746,0.04146862
575.00000000,0.28291625,0.84668928,0.03685858
580.00000000,0.45935953,0.80857963,0.03341549
585.00000000,0.64354405,0.76296587,0.03071957
590.00000000,0.80521366,0.70705507,0.02805966
595.00000000,0.91601737,0.64147716,0.02555494
600.00000000,0.96431840,0.57077096,0.02332624
605.00000000,0.97676591,0.49757622,0.02151222
610.00000000,0.97718144,0.42615039,0.02042953
615.00000000,0.97744776,0.36429090,0.01987407
620.00000000,0.97798052,0.31290049,0.02070022
625.00000000,0.97766254,0.27175400,0.02238986
630.00000000,0.97844119,0.24147756,0.02523952
635.00000000,0.96948988,0.21946879,0.02903280
640.00000000,0.95572125,0.20139908,0.03379205
645.00000000,0.94107247,0.18681477,0.03950193
650.00000000,0.91413437,0.17446848,0.04541272
655.00000000,0.89020914,0.16692628,0.05151793
660.00000000,0.87426740,0.16615349,0.05777260
665.00000000,0.84703542,0.16994936,0.06273708
670.00000000,0.81753667,0.17899785,0.06620835
675.00000000,0.79996095,0.19558492,0.06924677
680.00000000,0.77579340,0.21492215,0.07131801
685.00000000,0.74239978,0.23280808,0.07178046
690.00000000,0.72363708,0.25155197,0.07226243
695.00000000,0.71698093,0.27667856,0.07315406
700.00000000,0.69941831,0.29006462,0.07221311
